Order_ID,Order_Date,Customer_ID,Customer_Name,Product_ID,Product_Name,Category,Region,Quantity_Sold,Unit_Price,Revenue,Cost,Profit,Current_Stock,Inventory_Status,Customer_Rating,Payment_Mode,Salesperson
ORD0016,2025-11-15,C099,Anirudh Dugal,P014,Cheese,Dairy,West,1,400,400,241.41,158.59,201,In Stock,4.5,Credit Card,Rahul
ORD0017,2025-12-15,C047,Jagdish Ganesh,P007,Pen,Stationery,South,9,15,135,114.19,20.81,119,Low Stock,4.2,Cash,Sneha
ORD0018,2025-11-19,C007,Bimala Vig,P023,Pencil,Stationery,North,6,10,60,44.0,16.0,271,In Stock,4.0,UPI,Kiran
ORD0019,2025-07-18,C083,Ishanvi Chahal,P009,Chips,Snacks,North,8,20,160,128.11,31.89,109,Low Stock,3.9,Credit Card,Pooja
ORD0020,2025-11-08,C013,Anika Goda,P019,Tea,Beverages,East,9,220,1980,1530.2,449.8,137,Low Stock,3.9,Credit Card,Kiran
ORD0021,2025-04-02,C090,Ishani Barman,P023,Cake,Bakery,East,2,350,700,500.11,199.89,206,In Stock,4.6,Credit Card,Arjun
ORD0022,2025-03-10,C058,Abha Sule,P003,Pencil,Stationery,South,4,10,40,25.42,14.58,74,Low Stock,4.7,Debit Card,Vikram
ORD0023,2025-05-30,C032,Daniel Bahl,P014,Butter,Dairy,East,5,250,1250,1052.64,197.36,1,Out of Stock,4.4,Debit Card,Pooja
ORD0024,2025-09-25,C003,Wazir Deo,P005,Bread,Bakery,North,1,40,40,30.56,9.44,29,Out of Stock,4.6,Debit Card,Neha
ORD0025,2025-01-08,C022,Nirja Nagarajan,P008,Curd,Dairy,East,2,45,90,75.91,14.09,1,Out of Stock,4.3,Credit Card,Arjun
ORD0026,2025-05-04,C064,Pahal Dhawan,P011,Juice,Beverages,West,1,90,90,72.84,17.16,210,In Stock,4.7,Credit Card,Arjun
ORD0027,2025-07-06,C076,Deepa Reddy,P022,Face Wash,Personal Care,South,8,180,1440,1162.2,277.8,232,In Stock,3.6,Cash,Priya
ORD0028,2025-02-27,C071,Krishna Arora,P006,Rice,Groceries,East,9,60,540,345.11,194.89,84,Low Stock,4.0,UPI,Ramesh
ORD0029,2025-10-10,C007,Om Memon,P017,Cookies,Snacks,East,9,80,720,558.4,161.6,194,In Stock,4.5,Debit Card,Pooja
ORD0030,2025-11-04,C039,David Pant,P023,Salt,Groceries,South,7,25,175,131.18,43.82,23,Out of Stock,3.9,Cash,Neha
ORD0031,2025-06-11,C041,Arin Jaggi,P018,Notebook,Stationery,South,9,80,720,467.52,252.48,284,In Stock,4.9,Cash,Kiran
ORD0032,2025-07-26,C064,Warda Guha,P005,Pen,Stationery,South,9,15,135,90.95,44.05,259,In Stock,4.2,UPI,Ramesh
ORD0033,2025-08-01,C083,Vedika Pal,P023,Notebook,Stationery,South,8,80,640,416.3,223.7,209,In Stock,4.4,UPI,Rahul
ORD0034,2025-01-19,C081,Riya Merchant,P019,Cookies,Snacks,East,2,80,160,135.0,25.0,48,Out of Stock,3.9,Debit Card,Pooja
ORD0035,2025-10-16,C071,Rudra Gour,P022,Milk,Dairy,North,5,55,275,178.31,96.69,240,In Stock,3.6,Cash,Rahul
ORD0036,2025-11-28,C074,Onveer Sibal,P001,Cooking Oil,Groceries,North,9,180,1620,1297.95,322.05,112,Low Stock,5.0,Debit Card,Priya
ORD0037,2025-09-06,C073,Indira Shere,P008,Cheese,Dairy,North,5,400,2000,1427.74,572.26,232,In Stock,4.5,UPI,Anjali
ORD0038,2025-08-11,C096,Triveni Ganguly,P021,Biscuits,Bakery,East,6,35,210,157.85,52.15,170,In Stock,4.6,Credit Card,Neha
ORD0039,2025-03-09,C056,Omkaar Varma,P007,Salt,Groceries,East,6,25,150,113.61,36.39,248,In Stock,3.9,Cash,Vikram
ORD0040,2025-01-09,C004,Saumya Gill,P005,Notebook,Stationery,West,1,80,80,63.85,16.15,182,In Stock,4.5,Cash,Pooja
ORD0041,2025-08-10,C016,Yashawini Patla,P004,Pen,Stationery,South,3,15,45,33.23,11.77,265,In Stock,4.7,Credit Card,Pooja
ORD0042,2025-03-04,C067,Upasna Mukherjee,P025,Curd,Dairy,South,7,45,315,190.68,124.32,45,Out of Stock,3.8,Credit Card,Anjali
ORD0043,2025-04-11,C070,Urmi Cheema,P006,Rice,Groceries,North,3,60,180,151.02,28.98,211,In Stock,4.9,Cash,Ramesh
ORD0044,2025-06-20,C034,Jacob Khatri,P025,Salt,Groceries,East,6,25,150,91.39,58.61,45,Out of Stock,3.6,UPI,Arjun
ORD0045,2025-09-01,C077,Manbir Kashyap,P005,Notebook,Stationery,North,6,80,480,341.56,138.44,18,Out of Stock,4.9,Credit Card,Rahul
ORD0046,2025-08-27,C012,Chanchal Chopra,P021,Namkeen,Snacks,North,1,60,60,47.44,12.56,155,In Stock,5.0,Cash,Anjali
ORD0047,2025-06-03,C005,Shravya Ghose,P015,Wheat Flour,Groceries,West,3,45,135,85.5,49.5,36,Out of Stock,4.5,UPI,Pooja
ORD0048,2025-04-03,C090,Meghana Dhaliwal,P006,Salt,Groceries,East,4,25,100,80.09,19.91,136,Low Stock,4.4,Cash,Vikram
ORD0049,2025-01-07,C045,Dhriti Kohli,P003,Shampoo,Personal Care,East,9,280,2520,1555.59,964.41,133,Low Stock,4.6,Cash,Rahul
ORD0050,2025-01-27,C053,Jeremiah Lad,P004,Curd,Dairy,East,8,45,360,290.36,69.64,96,Low Stock,4.7,Credit Card,Vikram
ORD0051,2025-01-01,C022,Ekalinga Mishra,P004,Biscuits,Bakery,South,1,35,35,23.91,11.09,33,Out of Stock,4.2,UPI,Anjali
ORD0052,2025-11-23,C033,Gaurangi Baral,P014,Wheat Flour,Groceries,East,1,45,45,37.89,7.11,90,Low Stock,4.3,Credit Card,Rahul
ORD0053,2025-09-29,C047,Dayita Sandal,P010,Pen,Stationery,South,4,15,60,44.89,15.11,148,Low Stock,4.8,Cash,Kiran
ORD0054,2025-11-18,C003,Logan Nori,P017,Bread,Bakery,East,7,40,280,190.79,89.21,139,Low Stock,5.0,UPI,Kiran
ORD0055,2025-01-09,C070,Kritika Vig,P008,Curd,Dairy,South,2,45,90,71.01,18.99,234,In Stock,4.8,Cash,Anjali
ORD0056,2025-10-28,C100,Neha Hari,P014,Namkeen,Snacks,South,5,60,300,181.75,118.25,29,Out of Stock,3.7,Credit Card,Rahul
ORD0057,2025-01-24,C001,Reva Rastogi,P022,Curd,Dairy,South,10,45,450,378.7,71.3,191,In Stock,4.1,Cash,Sneha
ORD0058,2025-08-30,C079,Ati Mannan,P009,Pen,Stationery,East,10,15,150,98.46,51.54,31,Out of Stock,4.1,Credit Card,Neha
ORD0059,2025-09-13,C047,Samesh Sharaf,P010,Pen,Stationery,East,10,15,150,118.63,31.37,93,Low Stock,4.9,Cash,Arjun
ORD0060,2025-11-28,C025,Vaishnavi Sandal,P018,Biscuits,Bakery,East,6,35,210,140.52,69.48,283,In Stock,3.5,Cash,Vikram
ORD0061,2025-08-13,C057,Yashvi Taneja,P014,Notebook,Stationery,South,7,80,560,381.99,178.01,135,Low Stock,4.9,Cash,Neha
ORD0062,2025-05-27,C062,Urvashi Brar,P001,Butter,Dairy,North,10,250,2500,1869.3,630.7,29,Out of Stock,4.4,Debit Card,Neha
ORD0063,2025-07-06,C061,Nathaniel Naik,P023,Notebook,Stationery,South,6,80,480,345.44,134.56,251,In Stock,3.9,Credit Card,Neha
ORD0064,2025-12-17,C046,Jalsa Kapoor,P023,Curd,Dairy,North,7,45,315,190.4,124.6,266,In Stock,4.1,Debit Card,Ramesh
ORD0065,2025-03-17,C076,Forum Bhavsar,P007,Chips,Snacks,North,9,20,180,140.64,39.36,179,In Stock,4.2,Cash,Priya
ORD0066,2025-10-04,C089,Harish Wason,P018,Pen,Stationery,South,8,15,120,86.84,33.16,67,Low Stock,4.2,Debit Card,Anjali
ORD0067,2025-01-03,C039,William Shah,P021,Bread,Bakery,East,9,40,360,225.75,134.25,59,Low Stock,4.0,Credit Card,Neha
ORD0068,2025-01-26,C042,Sneha Srinivas,P007,Bread,Bakery,West,1,40,40,29.81,10.19,62,Low Stock,4.0,UPI,Rahul
ORD0069,2025-07-02,C061,Avi Deshmukh,P005,Shampoo,Personal Care,South,8,280,2240,1760.11,479.89,44,Out of Stock,4.2,Debit Card,Neha
ORD0070,2025-05-05,C066,Onveer Bhardwaj,P004,Tea,Beverages,North,8,220,1760,1389.95,370.05,64,Low Stock,3.6,Debit Card,Arjun
ORD0071,2025-01-14,C078,Yashica Sen,P005,Wheat Flour,Groceries,East,2,45,90,73.3,16.7,94,Low Stock,4.7,Credit Card,Sneha
ORD0072,2025-10-16,C075,Caleb Jayaraman,P003,Salt,Groceries,North,3,25,75,51.85,23.15,158,In Stock,4.7,UPI,Anjali
ORD0073,2025-07-24,C097,Jacob Rattan,P013,Soap,Personal Care,East,9,40,360,233.12,126.88,228,In Stock,3.6,Cash,Rahul
ORD0074,2025-03-19,C048,Samuel Raja,P010,Wheat Flour,Groceries,South,1,45,45,29.69,15.31,31,Out of Stock,4.5,Credit Card,Neha
ORD0075,2025-11-18,C014,Parth Bhatt,P002,Salt,Groceries,North,6,25,150,116.24,33.76,80,Low Stock,4.5,Credit Card,Rahul
ORD0076,2025-01-28,C099,Tanish Deo,P022,Pencil,Stationery,West,9,10,90,71.48,18.52,50,Low Stock,4.6,Cash,Ramesh
ORD0077,2025-11-02,C084,Ikshita Bains,P002,Shampoo,Personal Care,West,10,280,2800,2091.5,708.5,128,Low Stock,3.9,Debit Card,Priya
ORD0078,2025-07-17,C056,Guneet Sheth,P025,Biscuits,Bakery,North,5,35,175,121.34,53.66,118,Low Stock,5.0,Credit Card,Priya
ORD0079,2025-06-09,C044,Oni Bhakta,P001,Shampoo,Personal Care,South,7,280,1960,1219.36,740.64,69,Low Stock,4.7,Credit Card,Anjali
ORD0080,2025-03-13,C069,Luke Parsa,P015,Soft Drink,Beverages,North,9,60,540,350.72,189.28,159,In Stock,4.9,Credit Card,Sneha
ORD0081,2025-07-07,C024,Ganga Kari,P005,Coffee,Beverages,East,8,350,2800,1931.38,868.62,112,Low Stock,4.4,Credit Card,Ramesh
ORD0082,2025-01-18,C024,Pranit Madan,P014,Curd,Dairy,East,7,45,315,256.56,58.44,212,In Stock,4.4,Cash,Rahul
ORD0083,2025-10-09,C075,Sudiksha Verma,P019,Biscuits,Bakery,West,2,35,70,43.04,26.96,257,In Stock,4.5,Debit Card,Neha
ORD0084,2025-05-14,C094,Udarsh Borah,P003,Soft Drink,Beverages,South,2,60,120,94.78,25.22,124,Low Stock,4.5,UPI,Anjali
ORD0085,2025-04-20,C013,Gunbir Chadha,P010,Biscuits,Bakery,West,10,35,350,286.03,63.97,115,Low Stock,4.1,UPI,Priya
ORD0086,2025-06-19,C039,Hemang Sabharwal,P021,Cake,Bakery,North,8,350,2800,2343.11,456.89,141,Low Stock,3.9,Credit Card,Priya
ORD0087,2025-12-24,C010,Oviya Karan,P014,Cheese,Dairy,East,7,400,2800,2370.29,429.71,103,Low Stock,3.6,Credit Card,Sneha
ORD0088,2025-10-23,C013,Isaac Anand,P011,Wheat Flour,Groceries,East,9,45,405,245.57,159.43,244,In Stock,4.5,Credit Card,Rahul
ORD0089,2025-12-19,C064,Lopa Sarna,P016,Notebook,Stationery,West,7,80,560,340.76,219.24,173,In Stock,4.7,Debit Card,Pooja
ORD0090,2025-12-25,C084,Arya Chada,P013,Coffee,Beverages,South,7,350,2450,1800.6,649.4,105,Low Stock,4.3,Debit Card,Pooja
ORD0091,2025-03-14,C085,Reva Minhas,P008,Bread,Bakery,South,5,40,200,163.26,36.74,38,Out of Stock,4.7,Cash,Pooja
ORD0092,2025-12-09,C025,Hemangini Karpe,P021,Namkeen,Snacks,East,3,60,180,142.33,37.67,24,Out of Stock,3.5,Debit Card,Kiran
ORD0093,2025-08-20,C014,Anjali Deep,P010,Bread,Bakery,West,10,40,400,300.99,99.01,115,Low Stock,4.7,Credit Card,Priya
ORD0094,2025-05-21,C050,Rayaan Keer,P020,Wheat Flour,Groceries,East,4,45,180,141.79,38.21,232,In Stock,5.0,UPI,Ramesh
ORD0095,2025-08-05,C023,Dalbir Basu,P025,Chips,Snacks,West,6,20,120,79.41,40.59,135,Low Stock,4.2,Debit Card,Ramesh
ORD0096,2025-08-16,C057,Wazir Pingle,P022,Toothpaste,Personal Care,South,2,120,240,192.81,47.19,275,In Stock,3.8,UPI,Sneha
ORD0097,2025-02-24,C004,Dev Goel,P015,Wheat Flour,Groceries,East,9,45,405,283.44,121.56,167,In Stock,4.3,Credit Card,Rahul
ORD0098,2025-07-05,C038,Ladli Datta,P004,Face Wash,Personal Care,North,7,180,1260,943.46,316.54,173,In Stock,3.9,Credit Card,Sneha
ORD0099,2025-09-22,C051,Kashvi Hegde,P008,Biscuits,Bakery,West,3,35,105,87.15,17.85,105,Low Stock,4.5,Cash,Vikram
ORD0100,2025-07-24,C059,Shravya Kumar,P011,Coffee,Beverages,West,6,350,2100,1697.9,402.1,170,In Stock,4.4,Cash,Rahul
ORD0101,2025-04-19,C003,Robert Mishra,P021,Coffee,Beverages,East,8,350,2800,2294.76,505.24,47,Out of Stock,4.8,Cash,Kiran
ORD0102,2025-02-02,C004,Dayamai Menon,P015,Toothpaste,Personal Care,West,7,120,840,578.1,261.9,119,Low Stock,3.8,Cash,Anjali
ORD0103,2025-08-25,C006,Amara Pathak,P003,Cooking Oil,Groceries,North,4,180,720,567.71,152.29,158,In Stock,3.5,Cash,Pooja
ORD0104,2025-07-15,C086,Amaira Mangal,P018,Bread,Bakery,West,6,40,240,163.95,76.05,140,Low Stock,3.7,UPI,Neha
ORD0105,2025-01-16,C085,Bina Biswas,P009,Notebook,Stationery,East,8,80,640,515.56,124.44,203,In Stock,4.0,Cash,Arjun
ORD0106,2025-03-21,C096,Anita Bajaj,P008,Namkeen,Snacks,East,7,60,420,320.13,99.87,19,Out of Stock,4.8,Debit Card,Rahul
ORD0107,2025-02-24,C004,Kashish Subramanian,P008,Butter,Dairy,West,9,250,2250,1717.01,532.99,254,In Stock,4.9,UPI,Rahul
ORD0108,2025-04-22,C093,Abhimanyu Pillay,P007,Namkeen,Snacks,East,1,60,60,45.76,14.24,165,In Stock,4.8,Cash,Sneha
ORD0109,2025-03-24,C081,Samar Parsa,P009,Soft Drink,Beverages,East,10,60,600,363.89,236.11,11,Out of Stock,4.5,Debit Card,Pooja
ORD0110,2025-06-19,C013,Osha Nagar,P010,Pencil,Stationery,North,3,10,30,20.46,9.54,300,In Stock,4.2,Debit Card,Vikram
ORD0111,2025-05-20,C087,Rachit Comar,P014,Face Wash,Personal Care,South,10,180,1800,1360.79,439.21,221,In Stock,3.7,Credit Card,Vikram
ORD0112,2025-10-06,C011,Rushil Nadkarni,P020,Pen,Stationery,East,6,15,90,68.79,21.21,183,In Stock,4.7,UPI,Vikram
ORD0113,2025-01-02,C096,Amol Golla,P025,Cake,Bakery,East,10,350,3500,2746.49,753.51,127,Low Stock,4.7,Credit Card,Pooja
ORD0114,2025-11-11,C051,Mitali Khosla,P008,Sugar,Groceries,North,10,50,500,371.41,128.59,9,Out of Stock,4.2,Credit Card,Anjali
ORD0115,2025-04-15,C046,Nakul Nigam,P006,Tea,Beverages,West,1,220,220,171.51,48.49,226,In Stock,4.0,Debit Card,Ramesh
ORD0116,2025-01-18,C035,Omisha Narayanan,P018,Biscuits,Bakery,East,4,35,140,84.6,55.4,60,Low Stock,3.9,UPI,Kiran
ORD0117,2025-09-17,C089,Suhani Palan,P006,Salt,Groceries,North,9,25,225,182.33,42.67,234,In Stock,3.6,Cash,Sneha
ORD0118,2025-06-10,C043,Pooja Palan,P020,Biscuits,Bakery,East,6,35,210,144.54,65.46,172,In Stock,4.7,Credit Card,Vikram
ORD0119,2025-05-08,C050,Yatin Toor,P016,Tea,Beverages,South,1,220,220,138.85,81.15,187,In Stock,5.0,Credit Card,Ramesh
ORD0120,2025-05-27,C097,Tanvi Hans,P025,Biscuits,Bakery,North,9,35,315,258.01,56.99,138,Low Stock,4.4,UPI,Rahul
ORD0121,2025-11-08,C092,Caleb Hari,P022,Milk,Dairy,East,7,55,385,305.47,79.53,300,In Stock,4.6,Debit Card,Neha
ORD0122,2025-12-04,C066,Chakrika Shanker,P016,Soft Drink,Beverages,West,3,60,180,135.55,44.45,170,In Stock,4.4,Cash,Vikram
ORD0123,2025-02-22,C037,Turvi Kala,P025,Cake,Bakery,North,4,350,1400,1030.58,369.42,67,Low Stock,4.1,Credit Card,Sneha
ORD0124,2025-03-05,C097,Anika Bail,P015,Wheat Flour,Groceries,East,1,45,45,33.64,11.36,209,In Stock,3.8,Debit Card,Sneha
ORD0125,2025-07-16,C015,Chandresh Padmanabhan,P001,Biscuits,Bakery,West,4,35,140,104.02,35.98,158,In Stock,4.1,Credit Card,Sneha
ORD0126,2025-04-13,C010,Bhavini Thaman,P008,Tea,Beverages,North,4,220,880,677.08,202.92,156,In Stock,4.0,Credit Card,Arjun
ORD0127,2025-11-01,C040,Krisha Venkatesh,P009,Pen,Stationery,West,4,15,60,36.85,23.15,34,Out of Stock,4.9,Cash,Ramesh
ORD0128,2025-06-02,C055,Nisha Raj,P003,Pencil,Stationery,East,7,10,70,53.82,16.18,263,In Stock,4.1,Credit Card,Kiran
ORD0129,2025-12-10,C081,Amrita Natarajan,P008,Cooking Oil,Groceries,South,7,180,1260,1036.35,223.65,207,In Stock,4.2,Debit Card,Rahul
ORD0130,2025-03-15,C009,Vinaya Sule,P013,Cake,Bakery,North,9,350,3150,2192.89,957.11,35,Out of Stock,3.9,UPI,Ramesh
ORD0131,2025-05-15,C007,Kabir Kara,P024,Salt,Groceries,South,7,25,175,147.66,27.34,13,Out of Stock,4.1,Credit Card,Pooja
ORD0132,2025-06-28,C089,Megha Devan,P021,Wheat Flour,Groceries,East,10,45,450,309.05,140.95,128,Low Stock,4.5,Cash,Arjun
ORD0133,2025-07-08,C080,Zinal Banerjee,P013,Cooking Oil,Groceries,East,8,180,1440,985.86,454.14,270,In Stock,4.1,UPI,Vikram
ORD0134,2025-08-14,C055,Raghav Chhabra,P022,Tea,Beverages,South,8,220,1760,1365.51,394.49,264,In Stock,4.6,UPI,Ramesh
ORD0135,2025-09-28,C099,Sudiksha Bala,P022,Chips,Snacks,East,10,20,200,168.22,31.78,187,In Stock,4.3,Credit Card,Rahul
ORD0136,2025-01-31,C039,Devika Badami,P003,Namkeen,Snacks,East,5,60,300,206.29,93.71,210,In Stock,4.4,UPI,Priya
ORD0137,2025-01-12,C001,Wyatt Devan,P001,Soft Drink,Beverages,South,1,60,60,39.57,20.43,64,Low Stock,3.8,Debit Card,Kiran
ORD0138,2025-07-19,C003,Nilima Chacko,P012,Pen,Stationery,South,3,15,45,35.66,9.34,30,Out of Stock,3.5,Credit Card,Rahul
ORD0139,2025-01-17,C100,Bhavya Sarkar,P023,Milk,Dairy,North,6,55,330,219.45,110.55,284,In Stock,4.8,Credit Card,Priya
ORD0140,2025-08-13,C041,Yashodhara Sethi,P014,Bread,Bakery,East,10,40,400,322.38,77.62,103,Low Stock,3.7,Debit Card,Ramesh
ORD0141,2025-08-21,C095,Girik Mital,P017,Pen,Stationery,South,4,15,60,39.25,20.75,221,In Stock,4.0,Debit Card,Neha
ORD0142,2025-06-10,C032,Vihaan Divan,P024,Notebook,Stationery,North,9,80,720,454.13,265.87,15,Out of Stock,4.8,UPI,Pooja
ORD0143,2025-03-12,C039,Anvi Venkatesh,P003,Pen,Stationery,East,4,15,60,39.83,20.17,293,In Stock,3.9,Credit Card,Vikram
ORD0144,2025-12-16,C071,Aadi Toor,P001,Rice,Groceries,East,7,60,420,325.45,94.55,293,In Stock,4.4,Debit Card,Rahul
ORD0145,2025-08-13,C100,Shravya D’Alia,P001,Sugar,Groceries,North,5,50,250,178.42,71.58,72,Low Stock,4.1,Cash,Neha
ORD0146,2025-03-09,C094,Triveni Dubey,P023,Rice,Groceries,West,3,60,180,123.93,56.07,210,In Stock,4.8,Credit Card,Ramesh
ORD0147,2025-01-25,C072,Vrinda Gala,P010,Cheese,Dairy,East,9,400,3600,2411.19,1188.81,198,In Stock,4.1,Cash,Neha
ORD0148,2025-07-22,C017,Jonathan Saha,P001,Namkeen,Snacks,West,4,60,240,192.93,47.07,283,In Stock,4.1,Debit Card,Neha
ORD0149,2025-05-15,C032,Meera Pillay,P006,Milk,Dairy,North,6,55,330,269.56,60.44,77,Low Stock,4.9,Cash,Anjali
ORD0150,2025-06-28,C010,Diya Khosla,P009,Cheese,Dairy,North,3,400,1200,840.91,359.09,84,Low Stock,4.9,Cash,Ramesh
ORD0151,2025-07-27,C093,Mekhala Babu,P025,Curd,Dairy,South,7,45,315,230.93,84.07,217,In Stock,3.8,Cash,Arjun
ORD0152,2025-11-17,C062,Om Krishnan,P019,Butter,Dairy,North,1,250,250,177.9,72.1,89,Low Stock,5.0,Credit Card,Pooja
ORD0153,2025-06-03,C037,Nitesh Baral,P007,Pen,Stationery,South,8,15,120,84.04,35.96,219,In Stock,3.7,UPI,Ramesh
ORD0154,2025-09-01,C024,Yachana Babu,P003,Milk,Dairy,West,6,55,330,268.23,61.77,201,In Stock,3.9,Cash,Neha
ORD0155,2025-05-16,C063,Aahana Dhar,P012,Pen,Stationery,West,6,15,90,64.92,25.08,140,Low Stock,4.4,Credit Card,Vikram
ORD0156,2025-02-09,C094,Siddharth Khosla,P015,Butter,Dairy,East,6,250,1500,1251.79,248.21,162,In Stock,4.5,Credit Card,Arjun
ORD0157,2025-02-07,C015,Faraj Mitter,P012,Cake,Bakery,North,10,350,3500,2464.28,1035.72,219,In Stock,4.0,UPI,Vikram
ORD0158,2025-03-20,C087,Zaid Kaul,P022,Sugar,Groceries,East,10,50,500,313.03,186.97,26,Out of Stock,4.5,UPI,Neha
ORD0159,2025-05-15,C067,Udyati Venkatesh,P009,Tea,Beverages,South,5,220,1100,772.38,327.62,274,In Stock,4.6,Credit Card,Pooja
ORD0160,2025-11-05,C031,Anay Batra,P017,Cake,Bakery,East,4,350,1400,935.94,464.06,269,In Stock,3.7,Credit Card,Arjun
ORD0161,2025-02-16,C062,Nihal Krish,P019,Chips,Snacks,North,4,20,80,50.36,29.64,197,In Stock,3.6,UPI,Neha
ORD0162,2025-12-05,C028,Amruta Johal,P004,Salt,Groceries,West,9,25,225,187.6,37.4,184,In Stock,3.6,Debit Card,Vikram
ORD0163,2025-07-17,C059,Yutika Boase,P015,Chips,Snacks,North,5,20,100,69.16,30.84,72,Low Stock,4.2,Debit Card,Ramesh
ORD0164,2025-04-15,C049,Naveen Setty,P015,Notebook,Stationery,North,6,80,480,309.2,170.8,295,In Stock,3.9,Debit Card,Vikram
ORD0165,2025-05-14,C049,Yahvi Deo,P017,Pen,Stationery,South,6,15,90,70.92,19.08,149,Low Stock,4.9,Cash,Ramesh
ORD0166,2025-12-13,C041,Divya Chaudhuri,P021,Cake,Bakery,West,10,350,3500,2207.94,1292.06,235,In Stock,5.0,Debit Card,Anjali
ORD0167,2025-01-11,C030,Aashi Parmer,P019,Cake,Bakery,West,1,350,350,259.0,91.0,63,Low Stock,4.9,UPI,Pooja
ORD0168,2025-12-05,C053,Yatan Thakur,P001,Juice,Beverages,East,2,90,180,130.61,49.39,169,In Stock,4.0,Credit Card,Neha
ORD0169,2025-08-11,C059,Hema Prabhakar,P008,Wheat Flour,Groceries,West,6,45,270,190.03,79.97,287,In Stock,4.6,Credit Card,Sneha
ORD0170,2025-05-18,C061,Hemangini Patla,P014,Notebook,Stationery,North,5,80,400,275.13,124.87,167,In Stock,4.5,Cash,Sneha
ORD0171,2025-04-30,C078,Om Dyal,P025,Rice,Groceries,North,6,60,360,232.48,127.52,193,In Stock,4.1,Credit Card,Anjali
ORD0172,2025-07-01,C012,Vritti Aggarwal,P003,Rice,Groceries,North,4,60,240,159.32,80.68,195,In Stock,4.7,Credit Card,Anjali
ORD0173,2025-07-14,C097,Vanya Om,P009,Notebook,Stationery,East,10,80,800,528.28,271.72,191,In Stock,4.7,Cash,Ramesh
ORD0174,2025-11-09,C038,Harinakshi Maharaj,P025,Namkeen,Snacks,North,5,60,300,233.9,66.1,98,Low Stock,4.6,Debit Card,Neha
ORD0175,2025-11-21,C024,Advika Mallick,P018,Butter,Dairy,South,8,250,2000,1416.55,583.45,30,Out of Stock,4.8,Cash,Rahul
ORD0176,2025-05-10,C043,Chakradhar Merchant,P008,Curd,Dairy,South,10,45,450,308.82,141.18,6,Out of Stock,4.0,Cash,Rahul
ORD0177,2025-10-12,C037,Bachittar Murthy,P020,Butter,Dairy,North,2,250,500,419.05,80.95,102,Low Stock,4.0,Debit Card,Ramesh
ORD0178,2025-03-17,C087,Zayan Sethi,P006,Sugar,Groceries,East,3,50,150,112.46,37.54,32,Out of Stock,4.7,Debit Card,Neha
ORD0179,2025-11-17,C051,Christopher Dora,P017,Face Wash,Personal Care,South,7,180,1260,836.86,423.14,21,Out of Stock,4.7,Debit Card,Anjali
ORD0180,2025-04-10,C063,Chakradhar Goswami,P007,Soft Drink,Beverages,West,4,60,240,203.28,36.72,116,Low Stock,5.0,Credit Card,Ramesh
ORD0181,2025-04-19,C015,Janaki Rau,P021,Shampoo,Personal Care,North,8,280,2240,1547.01,692.99,202,In Stock,4.8,UPI,Vikram
